"Adigeya","Adigeysk","RUS",100000
"Адыгея","Майкоп","RUS",234234
"Алтайский край","Акташ","RUS",6575675
"Алтайский край","Акутиха","RUS",345345
"Алтайский край","Алейск","RUS", 234234
"Алтайский край","Алтайский","RUS",222111
"Алтайский край","Баево","RUS",2345
"Алтайский край","Барнаул","RUS",12445
"Алтайский край","Белово","RUS",234568,
"Алтайский край","Белокуриха","RUS",88896
"Алтайский край","Белоярск","RUS",33345,
"Алтайский край","Бийск","RUS",23445
"Алтайский край","Благовещенск,"RUS",88896
"Алтайский край","Боровлянка","RUS",88896
"Алтайский край","Бурла","RUS",88896
"Алтайский край","Бурсоль","RUS",88896
"Алтайский край","Волчиха","RUS",88896
"Алтайский край","Горно-Алтайск","RUS",88896
"Алтайский край","Горняк","RUS",88896
"Алтайский край","Ельцовка","RUS",88896
"Алтайский край","Залесово","RUS",88896
"Алтайский край","Заринск","RUS",88896
"Алтайский край","Заток","RUS",88896
"Алтайский край","Змеиногорск","RUS",88896
"Алтайский край","Камень-на-Оби","RUS",88896
"Алтайский край","Ключи","RUS",88896
